Manuscript_number,DOI,funder,name,fundref
es-2022-05253t,10.1021/acs.est.2c05253,grid.22058.3d,Agence Nationale de la Recherche,501100001665
es-2022-05253t,10.1021/acs.est.2c05253,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-05254f,10.1021/acs.est.2c05254,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-052826,10.1021/acs.est.2c05282,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-052826,10.1021/acs.est.2c05282,grid.457875.c,Directorate for Mathematical & Physical Sciences,
es-2022-05283r,,,,
es-2022-05311r,10.1021/acs.est.2c05311,grid.417548.b,United States Department of Agriculture,100000199
es-2022-05311r,10.1021/acs.est.2c05311,grid.436050.4,Slovenian Research Agency,
es-2022-05311r,10.1021/acs.est.2c05311,grid.8682.4,Natural Environment Research Council,501100000270
es-2022-05311r,10.1021/acs.est.2c05311,grid.418270.8,Consejo Nacional de Ciencia y Tecnología,501100003141
es-2022-05311r,10.1021/acs.est.2c05311,grid.270680.b,European Commission,501100000780
es-2022-05311r,10.1021/acs.est.2c05311,grid.421126.2,Scottish Government,
es-2022-05324c,10.1021/acs.est.2c05324,grid.457810.f,Directorate for Engineering,
es-2022-05355y,,,,
es-2022-053698,10.1021/acs.est.2c05369,,,
es-2022-05373j,10.1021/acs.est.2c05373,grid.453006.4,Alfred P. Sloan Foundation,
es-2022-05373j,10.1021/acs.est.2c05373,grid.453285.d,Water Research Foundation,
es-2022-05376s,10.1021/acs.est.2c05376,grid.57828.30,National Center for Atmospheric Research,
es-2022-05376s,10.1021/acs.est.2c05376,grid.3532.7,National Oceanic and Atmospheric Administration,
es-2022-05376s,10.1021/acs.est.2c05376,grid.457836.b,Directorate for Geosciences,
es-2022-05376s,10.1021/acs.est.2c05376,grid.457875.c,Directorate for Mathematical & Physical Sciences,
es-2022-053869,10.1021/acs.est.2c05386,grid.453034.5,China Postdoctoral Science Foundation,501100002858
es-2022-053869,10.1021/acs.est.2c05386,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-053875,10.1021/acs.est.2c05387,grid.270680.b,European Commission,501100000780
es-2022-05396g,10.1021/acs.est.2c05396,grid.8682.4,Natural Environment Research Council,501100000270
es-2022-05404s,10.1021/acs.est.2c05404,grid.482914.2,National Institute of Food and Agriculture,
es-2022-05404s,10.1021/acs.est.2c05404,grid.457810.f,Directorate for Engineering,
es-2022-05404s,10.1021/acs.est.2c05404,grid.418698.a,Environmental Protection Agency,100000139
es-2022-05446m,10.1021/acs.est.2c05446,grid.474436.6,"Department for Business, Energy and Industrial Strategy",100011693
es-2022-05446m,10.1021/acs.est.2c05446,grid.270680.b,European Commission,501100000780
es-2022-05469c,10.1021/acs.est.2c05469,,,
es-2022-05485g,10.1021/acs.est.2c05485,grid.451322.3,"Ministry of Economy, Industry and Competitiveness",501100003329
es-2022-05485g,10.1021/acs.est.2c05485,grid.420488.2,Dutch Research Council,501100003246
es-2022-05485g,10.1021/acs.est.2c05485,grid.454735.4,Government of Catalonia,501100002809
es-2022-05486k,,,,
es-2022-055045,10.1021/acs.est.2c05504,grid.468466.e,Alexander Graham Bell Association for the Deaf and Hard of Hearing,100005474
es-2022-05536v,10.1021/acs.est.2c05536,grid.5586.e,Federal Ministry of Education and Research,501100002347
es-2022-05536v,10.1021/acs.est.2c05536,grid.211011.2,Helmholtz Association of German Research Centres,
es-2022-05541v,,,,
es-2022-05555p,10.1021/acs.est.2c05555,grid.280785.0,National Institute of General Medical Sciences,
es-2022-05555p,10.1021/acs.est.2c05555,grid.453125.4,Office of the Director,100000052
es-2022-05555p,10.1021/acs.est.2c05555,grid.280664.e,National Institute of Environmental Health Sciences,
es-2022-05560p,10.1021/acs.est.2c05560,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-055717,10.1021/acs.est.2c05571,grid.452956.9,Ministry of Education,
es-2022-055717,10.1021/acs.est.2c05571,grid.410513.2,Pfizer (United States),100004319
es-2022-05583b,10.1021/acs.est.2c05583,grid.4711.3,Spanish National Research Council,
es-2022-05583b,10.1021/acs.est.2c05583,grid.454735.4,Government of Catalonia,501100002809
es-2022-05583b,10.1021/acs.est.2c05583,grid.451322.3,"Ministry of Economy, Industry and Competitiveness",501100003329
es-2022-05617y,10.1021/acs.est.2c05617,grid.13985.36,The Research Council of Norway,
es-2022-05619m,10.1021/acs.est.2c05619,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-05619m,10.1021/acs.est.2c05619,grid.454741.7,Guangdong Science and Technology Department,501100007162
es-2022-056368,10.1021/acs.est.2c05636,grid.417969.4,Indian Institute of Technology Madras,
es-2022-056368,10.1021/acs.est.2c05636,grid.453387.e,Ministry of Human Resource Development,
es-2022-056368,10.1021/acs.est.2c05636,grid.417967.a,Indian Institute of Technology Delhi,
es-2022-05642u,10.1021/acs.est.2c05642,,,
es-2022-05659k,10.1021/acs.est.2c05659,grid.453034.5,China Postdoctoral Science Foundation,501100002858
es-2022-056607,10.1021/acs.est.2c05660,grid.25111.36,FWF Austrian Science Fund,
es-2022-056623,10.1021/acs.est.2c05662,grid.4444.0,French National Centre for Scientific Research,
es-2022-056623,10.1021/acs.est.2c05662,grid.22058.3d,Agence Nationale de la Recherche,501100001665
es-2022-05666f,,,,
es-2022-05669h,10.1021/acs.est.2c05669,grid.453034.5,China Postdoctoral Science Foundation,501100002858
es-2022-05669h,10.1021/acs.est.2c05669,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-05683y,10.1021/acs.est.2c05683,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-05683y,10.1021/acs.est.2c05683,grid.9227.e,Chinese Academy of Sciences,501100002367
es-2022-05683y,10.1021/acs.est.2c05683,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-05684q,10.1021/acs.est.2c05684,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-05684q,10.1021/acs.est.2c05684,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-05684q,10.1021/acs.est.2c05684,grid.9227.e,Chinese Academy of Sciences,501100002367
es-2022-05684q,10.1021/acs.est.2c05684,grid.453197.d,Youth Innovation Promotion Association,
es-2022-056978,,,,
es-2022-05719j,10.1021/acs.est.2c05719,grid.270680.b,European Commission,501100000780
es-2022-05719j,10.1021/acs.est.2c05719,grid.432419.9,Banco Santander (Spain),
es-2022-05719j,10.1021/acs.est.2c05719,grid.22919.31,Fundação para a Ciência e Tecnologia,501100001871
es-2022-05724j,10.1021/acs.est.2c05724,grid.13985.36,The Research Council of Norway,
es-2022-05724j,10.1021/acs.est.2c05724,grid.422595.d,Equinor (Norway),
es-2022-057258,10.1021/acs.est.2c05725,,,
es-2022-057463,10.1021/acs.est.2c05746,grid.5586.e,Federal Ministry of Education and Research,501100002347
es-2022-05750a,10.1021/acs.est.2c05750,grid.9227.e,Chinese Academy of Sciences,501100002367
es-2022-05750a,10.1021/acs.est.2c05750,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-05750a,10.1021/acs.est.2c05750,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-05753k,10.1021/acs.est.2c05753,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-05753k,10.1021/acs.est.2c05753,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-05756b,10.1021/acs.est.2c05756,grid.453006.4,Alfred P. Sloan Foundation,
es-2022-05772y,10.1021/acs.est.2c05772,grid.419696.5,National Natural Science Foundation of China,501100001809
